 5### termArr[0] = "algae" | les algues
 3### termArr[46] = "comparative analysis of aquaculture systems" | analyse comparative des systèmes d'aquaculture
 4### termArr[47] = "conservation aquaculture" | aquaculture de conservation
 3### termArr[48] = "conservation genetics in fisheries" | génétique de la conservation dans les pêches
 4### termArr[49] = "consumption of aquactic foods" | consommation d'aliments aquatiques
 4### termArr[50] = "consumer preferences in seafood" | préférences des consommateurs en matière de produits de la mer
 3### termArr[51] = "controlled breeding environments" | environnements de reproduction contrôlés
 4### termArr[52] = "coral reef fishery management" | gestion de la pêche des récifs coralliens
 4### termArr[53] = "covid-19 impact" | L'impact du covid-19
 4### termArr[54] = "critical habitat designation" | désignation d'habitats critiques
 4### termArr[55] = "crustacean farming" | élevage de crustacés
 3### termArr[56] = "customary marine tenure" | le régime maritime coutumier
 3### termArr[57] = "data-limited fisheries management" | gestion des pêches à données limitées
 4### termArr[58] = "deep-sea aquaculture" | aquaculture en haute mer
 3### termArr[59] = "disease resistance in aquaculture species" | résistance aux maladies chez les espèces d'aquaculture
 4### termArr[60] = "ecolabelling of seafood" | étiquetage écologique des produits de la mer
 4### termArr[61] = "eco-certification of fisheries" | l'éco-certification des pêches
 3### termArr[62] = "economic incentives for sustainable fishing" | incitations économiques à la pêche durable
 3### termArr[63] = "economic impacts of fish disease" | les impacts économiques des maladies des poissons
 3### termArr[64] = "ecosystem approach to fisheries (eaf)" | approche écosystémique de la pêche (eaf)
 4### termArr[65] = "ecosystem services from aquaculture" | services écosystémiques fournis par l'aquaculture
 3### termArr[66] = "ecosystem-based aquaculture" | aquaculture basée sur les écosystèmes
 3### termArr[67] = "education and training in marine sciences" | l'enseignement et la formation dans les sciences marines
 3### termArr[68] = "employment law in fisheries" | droit de l'emploi dans le secteur de la pêche
 3### termArr[69] = "endangered species act compliance in fisheries" | respect de la loi sur les espèces en voie de disparition dans les pêches
 3### termArr[70] = "energy efficiency in aquaculture" | efficacité énergétique dans l'aquaculture
 4### termArr[71] = "enhanced fisheries management" | amélioration de la gestion de la pêche
 3### termArr[72] = "environmental dna (edna) in fisheri es monitoring" | ADN environnemental (ADN) dans le suivi de la pêche
 3### termArr[73] = "environmental impact of fish feed" | impact environnemental des aliments pour poissons
 4### termArr[74] = "ex-situ conservation of aquatic species" | conservation ex-situ des espèces aquatiques
 2### termArr[75] = "feed conversion ratio (fcr)" | taux de conversion de l'alimentation (fcr)
 4### termArr[76] = "finfish farming" | élevage de poissons à nageoires
 2### termArr[77] = "fish aggregation device (fad) management" | gestion du dispositif d'agrégation des poissons (FAD)
 3### termArr[78] = "fish aging techniques" | techniques de vieillissement du poisson
 3### termArr[79] = "fish escape prevention strategies" | stratégies de prévention de l'évasion des poissons
 3### termArr[80] = "fish farm effluent management" | gestion des effluents des piscicultures
 4### termArr[81] = "fish farming techniques" | techniques d'élevage de poissons
 5### termArr[82] = "fish feed" | Aliments pour poissons
 5### termArr[83] = "fish health management" | gestion de la santé des poissons
 3### termArr[84] = "fish migration and barriers" | migration des poissons et barrières
 4### termArr[85] = "fish migration corridors" | corridors de migration des poissons
 3### termArr[86] = "fish passage systems" | systèmes de passage des poissons
 5### termArr[87] = "fish stock" | stock de poissons
 5### termArr[88] = "fisheries and aquaculture products" | produits de la pêche et de l'aquaculture
 4### termArr[89] = "fisheries audit and certification" | audit et certification des pêches
 2### termArr[90] = "fisheries co-management" | cogestion de la pêche
 4### termArr[91] = "fisheries conservation" | conservation des pêches
 5### termArr[92] = "fisheries data collection" | collecte de données sur la pêche
 4### termArr[93] = "fisheries economic contribution" | contribution économique de la pêche
 4### termArr[94] = "fisheries employment" | emploi dans la pêche
 2### termArr[95] = "fisheries enforcement technologies" | technologies de répression de la pêche
 4### termArr[96] = "fisheries extension services" | services de vulgarisation de la pêche
 3### termArr[97] = "fisheries forecasting" | prévisions de la pêche
 5### termArr[98] = "fisheries management" | gestion de la pêche
 5### termArr[99] = "fisheries policy" | politique de la pêche
 4### termArr[100] = "fisheries production" | production de la pêche fishing license
 4### termArr[101] = "fisheries projections" | projections concernant la pêche
 3### termArr[102] = "fisheries science" | science de la pêche
 4### termArr[103] = "fisheries subsidies" | subventions à la pêche
 5### termArr[104] = "fishing fleet" | flotte de pêche
 5### termArr[105] = "fishing gears" | engins de pêche
 3### termArr[106] = "fishing license regulations" | réglementation sur les licences de pêche
 4### termArr[107] = "fishing moratorium" | moratoire de pêche
 3### termArr[108] = "fishing vessel safety regulations" | réglementation sur la sécurité des navires de pêche
 4### termArr[109] = "flexible management strategies in fisheries" | stratégies de gestion souples dans le domaine de la pêche
 3### termArr[110] = "floodplain restoration for fisheries" | restauration des plaines inondables pour la pêche
 2### termArr[111] = "gear selectivity improvements" | améliorations de la sélectivité des engins
 3### termArr[112] = "gender equality in fisheries" | égalité des sexes dans la pêche
 3### termArr[113] = "gender equality in aquaculture" | égalité des sexes dans l'aquaculture
 5### termArr[114] = "genetic improvement" | amélioration génétique
 1### termArr[115] = "genetic stock identification" | identification du stock génétique
 3### termArr[116] = "genetic technologies in aquaculture" | technologies génétiques dans l'aquaculture
 5### termArr[117] = "genetically modified organisms (gmo) in aquaculture" | organismes génétiquement modifiés (OGM) en aquaculture
 3### termArr[118] = "genomics in aquaculture" | la génomique dans l'aquaculture
 4### termArr[119] = "geospatial analysis in marine management" | analyse géospatiale dans la gestion marine
 3### termArr[120] = "global aquaculture production" | production mondiale d'aquaculture
 3### termArr[121] = "global fishing watch technologies" | technologies mondiales de surveillance de la pêche
 4### termArr[122] = "habitat destruction" | destruction de l'habitat
 4### termArr[123] = "habitat enhancement techniques" | techniques d'amélioration de l'habitat
 2### termArr[124] = "harmful algal bloom management" | gestion de la floraison d'algues nocives
 4### termArr[125] = "hatchery technology" | technologie d'écloserie
 2### termArr[126] = "hatchery vs wild-caught fisheries" | écloserie par rapport à la pêche sauvage
 4### termArr[127] = "healthy diets" | des régimes alimentaires sains
 5### termArr[128] = "high seas fisheries management" | gestion de la pêche en haute mer
 4### termArr[129] = "high-density aquaculture systems" | systèmes d'aquaculture à haute densité
 3### termArr[130] = "holistic management approaches in aquaculture" | approches de gestion holistique dans l'aquaculture
 3### termArr[131] = "illegal, unreported, and unregulated (iuu) fishing" | Pêche illégale, non déclarée et non réglementée (iuu)
 3### termArr[132] = "impact assessments in aquaculture" | évaluations d'impact dans l'aquaculture
 3### termArr[133] = "indigenous knowledge in fisheries management" | connaissances autochtones dans la gestion des pêches
 3### termArr[134] = "indigenous rights and fisheries" | droits des peuples autochtones et la pêche
 1### termArr[135] = "inland aquaculture" | aquaculture intérieure
 4### termArr[136] = "inland, coastal and marine ecosystems" | écosystèmes intérieurs, côtiers et marins
 3### termArr[137] = "integrated agriculture-aquaculture (iaa)" | agriculture et aquaculture intégrées (iaa)
 3### termArr[138] = "integrated multitrophic aquaculture (imta)" | aquaculture multitrophe intégrée (imta)
 5### termArr[139] = "international fisheries law" | droit international de la pêche
 5### termArr[140] = "international ocean governance" | gouvernance internationale des océans
 4### termArr[141] = "international seafood trade" | commerce international des produits de la mer
 5### termArr[142] = "inshore fisheries" | pêche côtière
 4### termArr[143] = "invasive species control in aquaculture" | contrôle des espèces envahissantes en aquaculture
 4### termArr[144] = "juvenile fish protection" | protection des jeunes poissons
 3### termArr[145] = "labor rights in fisheries" | droits du travail dans les pêches
 4### termArr[146] = "land-based aquaculture" | aquaculture terrestre
 5### termArr[147] = "long-line fishing" | pêche à la palangre
 3### termArr[148] = "mangrove restoration for fisheries" | restauration des mangroves pour la pêche
 5### termArr[149] = "marine ecosystem" | écosystème marin
 4### termArr[150] = "marine ecosystem health monitoring" | surveillance de la santé des écosystèmes marins
 3### termArr[151] = "marine protected areas (mpas)" | zones marines protégées (MPA)
 3### termArr[152] = "marine spatial planning" | planification de l'espace marin
 3### termArr[153] = "market-based approaches to fisheries management" | approches de la gestion des pêches fondées sur le marché
 4### termArr[154] = "microalgae in aquaculture" | microalgues en aquaculture
 4### termArr[155] = "mollusc farming" | élevage de mollusques
 4### termArr[156] = "multi-species management" | gestion multi-espèces
 5### termArr[157] = "national aquaculture legislation" | législation nationale sur l'aquaculture
 3### termArr[158] = "nutrient cycling in aquaculture systems" | cycle des nutriments dans les systèmes d'aquaculture
 4### termArr[159] = "nutrient management in aquaculture" | gestion des nutriments dans l'aquaculture
 4### termArr[160] = "nutrition in aquaculture" | nutrition dans l'aquaculture
 4### termArr[161] = "ocean acidification impacts on aquaculture" | effets de l'acidification des océans sur l'aquaculture
 3### termArr[162] = "offshore aquaculture" | aquaculture en mer
 5### termArr[163] = "organic aquaculture" | l'aquaculture biologique
 3### termArr[164] = "pathogen monitoring in aquaculture" | surveillance des agents pathogènes dans l'aquaculture
 4### termArr[165] = "permaculture aquaculture" | permaculture aquaculture
 3### termArr[166] = "predator control in aquaculture" | lutte contre les prédateurs en aquaculture
 5### termArr[167] = "public health" | santé publique
 3### termArr[168] = "public access rights to fisheries" | droits d'accès du public à la pêche
 4### termArr[169] = "quota systems" | systèmes de quotas
 3### termArr[170] = "recirculating aquaculture systems (ras)" | systèmes d'aquaculture à recirculation (ras)
 5### termArr[171] = "recreational fisheries" | pêche récréative
 5### termArr[172] = "recreational vs commercial fisheries impacts" | impacts de la pêche récréative par rapport à la pêche commerciale
 4### termArr[173] = "reducing overfishing" | réduction de la surpêche
 3### termArr[174] = "reef-associated fisheries" | pêches associées aux récifs
 3### termArr[175] = "regulatory compliance in aquaculture" | conformité réglementaire dans l'aquaculture
 3### termArr[176] = "renewable energy in aquaculture operations" | énergie renouvelable dans les opérations d'aquaculture
 4### termArr[177] = "restoration ecology in fisheries" | écologie de la restauration dans les pêches
 4### termArr[178] = "responsible fisheries management" | gestion responsable de la pêche
 1### termArr[179] = "rish analysis" | analyse de l'épaisseur
 5### termArr[180] = "risk assessment" | évaluation des risques
 1### termArr[181] = "rish management" | gestion des rish
 3### termArr[182] = "salinity management in aquaculture" | gestion de la salinité dans l'aquaculture
 4### termArr[183] = "satellite monitoring in fisheries" | surveillance par satellite des pêches
 4### termArr[184] = "sea lice management in aquaculture" | gestion des poux de mer en aquaculture
 4### termArr[185] = "seafood traceability" | traçabilité des produits de la mer
 3### termArr[186] = "sediment control in aquaculture" | contrôle des sédiments en aquaculture
 2### termArr[187] = "selective breeding" | sélection de reproduction
 4### termArr[188] = "shellfish restoration" | restauration des mollusques
 3### termArr[189] = "social impact assessments in aquaculture" | évaluations de l'impact social dans l'aquaculture
 5### termArr[190] = "socio-economic impacts of fisheries" | les impacts socioéconomiques de la pêche
 3### termArr[191] = "stock assessment" | évaluation du stock
 5### termArr[192] = "stock enhancement programs" | programmes d'amélioration des stocks
 5### termArr[193] = "subsistence fisheries" | pêche de subsistance
 3### termArr[194] = "substrate-based aquaculture" | aquaculture basée sur le substrat
 4### termArr[195] = "sustainable aquaculture practices" | pratiques d'aquaculture durables
 3### termArr[196] = "sustainable aquaculture products" | produits d'aquaculture durables
 3### termArr[197] = "sustainable bait alternatives" | les solutions de remplacement durables des appâts
 5### termArr[198] = "sustainable fisheries" | pêche durable
 4### termArr[199] = "technological innovations in fisheries" | innovations technologiques dans le secteur de la pêche
 3### termArr[200] = "trace elements monitoring in aquaculture" | surveillance des oligo-éléments dans l'aquaculture
 4### termArr[201] = "trade barriers in seafood markets" | obstacles au commerce sur les marchés des produits de la mer
 3### termArr[202] = "transboundary fisheries management" | gestion des pêches transfrontières
 4### termArr[203] = "trawl fishing" | pêche au chalut
 3### termArr[204] = "trophic levels in aquaculture" | niveaux trophiques dans l'aquaculture
 3### termArr[205] = "tuna ranching" | élevage de thon
 3### termArr[206] = "value-added products from aquaculture" | produits d'aquaculture à valeur ajoutée
 3### termArr[207] = "vessel monitoring systems (vms)" | systèmes de surveillance des navires (VMS)
 4### termArr[208] = "vertical aquaculture" | aquaculture verticale
 5### termArr[209] = "water footprint of aquaculture" | empreinte hydrique de l'aquaculture
 5### termArr[210] = "water quality management" | gestion de la qualité de l'eau
 4### termArr[211] = "water reuse systems in aquaculture" | systèmes de réutilisation de l'eau dans l'aquaculture
 3### termArr[212] = "wetland restoration and fisheries" | restauration des zones humides et pêche
 4### termArr[213] = "wild fishery" | pêche sauvage
 3### termArr[214] = "wildlife interactions with aquaculture" | interactions entre la faune et l'aquaculture
 5### termArr[215] = "world health organisation (who)" | organisation mondiale de la santé (OMS)
 3### termArr[216] = "zoning and integrated coastal planning" | zonage et planification intégrée des côtes
 4### termArr[217] = "hatchery technology" | technologie d'écloserie
 4### termArr[218] = "high-density aquaculture systems" | systèmes d'aquaculture à haute densité
 3### termArr[219] = "indigenous rights and fisheries" | droits des peuples autochtones et la pêche
 4### termArr[220] = "invasive species control in aquaculture" | contrôle des espèces envahissantes en aquaculture
 4### termArr[221] = "marine ecosystem health monitoring" | surveillance de la santé des écosystèmes marins
 4### termArr[222] = "multi-species management" | gestion multi-espèces
 5### termArr[223] = "national aquaculture legislation" | législation nationale sur l'aquaculture
 3### termArr[224] = "nutrient cycling in aquaculture systems" | cycle des nutriments dans les systèmes d'aquaculture
