 5### termArr[0] = "algae" | las algas
 4### termArr[77] = "fish aggregation device (fad) management" | gestión del dispositivo de agregación de peces (FAD)
 2### termArr[78] = "fish aging techniques" | técnicas de envejecimiento del pescado
 3### termArr[79] = "fish escape prevention strategies" | estrategias de prevención de la fuga de peces
 4### termArr[80] = "fish farm effluent management" | gestión de los efluentes de las granjas de peces
 5### termArr[81] = "fish farming techniques" | técnicas de piscicultura
 5### termArr[82] = "fish feed" | Alimentos para peces
 5### termArr[83] = "fish health management" | gestión de la salud de los peces
 4### termArr[84] = "fish migration and barriers" | migración de peces y barreras
 5### termArr[85] = "fish migration corridors" | corredores de migración de peces
 5### termArr[86] = "fish passage systems" | sistemas de paso de peces
 5### termArr[87] = "fish stock" | población de peces
 4### termArr[88] = "fisheries and aquaculture products" | productos de la pesca y la acuicultura
 4### termArr[89] = "fisheries audit and certification" | auditoría y certificación de la pesca
 4### termArr[90] = "fisheries co-management" | gestión conjunta de la pesca
 5### termArr[91] = "fisheries conservation" | conservación de las pesquerías
 5### termArr[92] = "fisheries data collection" | Recopilación de datos sobre la pesca
 5### termArr[93] = "fisheries economic contribution" | contribución económica de la pesca
 5### termArr[94] = "fisheries employment" | empleo en la pesca
 3### termArr[95] = "fisheries enforcement technologies" | tecnologías de aplicación de la legislación en materia de pesca
 5### termArr[96] = "fisheries extension services" | servicios de extensión de la pesca
 5### termArr[97] = "fisheries forecasting" | previsiones de la pesca
 4### termArr[98] = "fisheries management" | gestión de la pesca
 5### termArr[99] = "fisheries policy" | política pesquera
 5### termArr[100] = "fisheries production" | producción pesquera
 5### termArr[101] = "fisheries projections" | proyecciones de pesca
 4### termArr[102] = "fisheries science" | ciencia de la pesca
 5### termArr[103] = "fisheries subsidies" | subvenciones a la pesca
 5### termArr[104] = "fishing fleet" | flota pesquera
 5### termArr[105] = "fishing gears" | artes de pesca
 4### termArr[106] = "fishing license regulations" | reglamentos de licencias de pesca
 5### termArr[107] = "fishing moratorium" | Moratoria de la pesca
 4### termArr[108] = "fishing vessel safety regulations" | Reglamentaciones de seguridad de los buques de pesca
 4### termArr[109] = "flexible management strategies in fisheries" | estrategias de gestión flexibles en la pesca
 4### termArr[110] = "floodplain restoration for fisheries" | restauración de las llanuras inundables para la pesca
 4### termArr[111] = "gear selectivity improvements" | mejoras en la selectividad de los artes
 5### termArr[112] = "gender equality in fisheries" | igualdad de género en la pesca
 5### termArr[113] = "gender equality in aquaculture" | igualdad de género en la acuicultura
 5### termArr[114] = "genetic improvement" | Mejoramiento genético
 2### termArr[115] = "genetic stock identification" | identificación de la población genética
 5### termArr[116] = "genetic technologies in aquaculture" | tecnologías genéticas en la acuicultura
 5### termArr[117] = "genetically modified organisms (gmo) in aquaculture" | organismos modificados genéticamente (OGM) en la acuicultura
 5### termArr[118] = "genomics in aquaculture" | genómica en la acuicultura
 4### termArr[119] = "geospatial analysis in marine management" | análisis geoespacial en la gestión marina
 4### termArr[120] = "global aquaculture production" | producción mundial de acuicultura
 4### termArr[121] = "global fishing watch technologies" | tecnologías de vigilancia de la pesca mundial
 5### termArr[122] = "habitat destruction" | destrucción del hábitat
 5### termArr[123] = "habitat enhancement techniques" | técnicas de mejora del hábitat
 4### termArr[124] = "harmful algal bloom management" | gestión de la floración de algas dañinas
 5### termArr[125] = "hatchery technology" | tecnología de incubación
 2### termArr[126] = "hatchery vs wild-caught fisheries" | incubadora frente a las pesquerías de captura silvestre
 5### termArr[127] = "healthy diets" | dietas saludables
 4### termArr[128] = "high seas fisheries management" | gestión de la pesca en alta mar
 5### termArr[129] = "high-density aquaculture systems" | sistemas de acuicultura de alta densidad
 3### termArr[130] = "holistic management approaches in aquaculture" | enfoques de gestión holística en la acuicultura
 5### termArr[131] = "illegal, unreported, and unregulated (iuu) fishing" | Pesca ilegal, no declarada y no regulada
 5### termArr[132] = "impact assessments in aquaculture" | evaluaciones de impacto en la acuicultura
 5### termArr[133] = "indigenous knowledge in fisheries management" | conocimientos indígenas en la gestión de la pesca
 5### termArr[134] = "indigenous rights and fisheries" | derechos indígenas y la pesca
 2### termArr[135] = "inland aquaculture" | acuicultura en aguas interiores
 5### termArr[136] = "inland, coastal and marine ecosystems" | ecosistemas interiores, costeros y marinos
 4### termArr[137] = "integrated agriculture-aquaculture (iaa)" | agricultura y acuicultura integradas (iaa)
 5### termArr[138] = "integrated multitrophic aquaculture (imta)" | acuicultura multitrófica integrada (imta)
 5### termArr[139] = "international fisheries law" | derecho internacional de la pesca
 5### termArr[140] = "international ocean governance" | gobernanza internacional de los océanos
 5### termArr[141] = "international seafood trade" | comercio internacional de productos del mar
 5### termArr[142] = "inshore fisheries" | Pesca costera
 5### termArr[143] = "invasive species control in aquaculture" | control de las especies invasoras en la acuicultura
 5### termArr[144] = "juvenile fish protection" | protección de los peces juveniles
 5### termArr[145] = "labor rights in fisheries" | derechos laborales en la pesca
 5### termArr[146] = "land-based aquaculture" | acuicultura en tierra
 5### termArr[147] = "long-line fishing" | pesca con palangre
 4### termArr[148] = "mangrove restoration for fisheries" | restauración de los manglares para la pesca
 5### termArr[149] = "marine ecosystem" | ecosistema marino
 5### termArr[150] = "marine ecosystem health monitoring" | vigilancia de la salud de los ecosistemas marinos
 4### termArr[151] = "marine protected areas (mpas)" | zonas marinas protegidas (MPA)
 4### termArr[152] = "marine spatial planning" | planificación del espacio marino
 4### termArr[153] = "market-based approaches to fisheries management" | enfoques de la gestión de la pesca basados en el mercado
 5### termArr[154] = "microalgae in aquaculture" | microalgas en la acuicultura
 5### termArr[155] = "mollusc farming" | Cultivo de moluscos
 5### termArr[156] = "multi-species management" | gestión de múltiples especies
 5### termArr[157] = "national aquaculture legislation" | legislación nacional en materia de acuicultura
 5### termArr[158] = "nutrient cycling in aquaculture systems" | ciclo de los nutrientes en los sistemas de acuicultura
 5### termArr[159] = "nutrient management in aquaculture" | gestión de nutrientes en la acuicultura
 5### termArr[160] = "nutrition in aquaculture" | nutrición en la acuicultura
 5### termArr[161] = "ocean acidification impacts on aquaculture" | efectos de la acidificación de los océanos en la acuicultura
 4### termArr[162] = "offshore aquaculture" | acuicultura en alta mar
 4### termArr[163] = "organic aquaculture" | acuicultura ecológica
 5### termArr[164] = "pathogen monitoring in aquaculture" | Seguimiento de patógenos en la acuicultura
 4### termArr[165] = "permaculture aquaculture" | Permacultura y acuicultura
 5### termArr[166] = "predator control in aquaculture" | control de depredadores en la acuicultura
 5### termArr[167] = "public health" | salud pública
 4### termArr[168] = "public access rights to fisheries" | derechos de acceso del público a las pesquerías
 5### termArr[169] = "quota systems" | sistemas de cuotas
 4### termArr[170] = "recirculating aquaculture systems (ras)" | sistemas de acuicultura de recirculación (ras)
 5### termArr[171] = "recreational fisheries" | pesca recreativa
 5### termArr[172] = "recreational vs commercial fisheries impacts" | Impactos de la pesca recreativa frente a la comercial
 5### termArr[173] = "reducing overfishing" | reducción de la sobrepesca
 5### termArr[174] = "reef-associated fisheries" | Pesca asociada a los arrecifes
 5### termArr[175] = "regulatory compliance in aquaculture" | cumplimiento normativo en la acuicultura
 5### termArr[176] = "renewable energy in aquaculture operations" | energía renovable en las operaciones de acuicultura
 5### termArr[177] = "restoration ecology in fisheries" | ecología de restauración en la pesca
 5### termArr[178] = "responsible fisheries management" | gestión responsable de la pesca
 1### termArr[179] = "rish analysis" | análisis de rish
 5### termArr[180] = "risk assessment" | evaluación del riesgo
 1### termArr[181] = "rish management" | gestión de rish
 5### termArr[182] = "salinity management in aquaculture" | gestión de la salinidad en la acuicultura
 5### termArr[183] = "satellite monitoring in fisheries" | vigilancia por satélite en las pesquerías
 5### termArr[184] = "sea lice management in aquaculture" | gestión de los piojos marinos en la acuicultura
 5### termArr[185] = "seafood traceability" | trazabilidad de los productos del mar
 5### termArr[186] = "sediment control in aquaculture" | control de los sedimentos en la acuicultura
 5### termArr[187] = "selective breeding" | la cría selectiva
 4### termArr[188] = "shellfish restoration" | restauración de mariscos
 5### termArr[189] = "social impact assessments in aquaculture" | evaluaciones de impacto social en la acuicultura
 5### termArr[190] = "socio-economic impacts of fisheries" | efectos socioeconómicos de la pesca
 5### termArr[191] = "stock assessment" | Evaluación de las poblaciones
 5### termArr[192] = "stock enhancement programs" | programas de mejora de las poblaciones
 5### termArr[193] = "subsistence fisheries" | pesca de subsistencia
 5### termArr[194] = "substrate-based aquaculture" | acuicultura basada en el sustrato
 4### termArr[195] = "sustainable aquaculture practices" | prácticas sostenibles de acuicultura
 4### termArr[196] = "sustainable aquaculture products" | productos de la acuicultura sostenibles
 4### termArr[197] = "sustainable bait alternatives" | alternativas sostenibles de cebo
 5### termArr[198] = "sustainable fisheries" | pesca sostenible
 5### termArr[199] = "technological innovations in fisheries" | innovaciones tecnológicas en la pesca
 5### termArr[200] = "trace elements monitoring in aquaculture" | seguimiento de los oligoelementos en la acuicultura
 4### termArr[201] = "trade barriers in seafood markets" | barreras comerciales en los mercados de productos del mar
 5### termArr[202] = "transboundary fisheries management" | gestión de la pesca transfronteriza
 4### termArr[203] = "trawl fishing" | pesca con redes de arrastre
 5### termArr[204] = "trophic levels in aquaculture" | niveles tróficos en la acuicultura
 5### termArr[205] = "tuna ranching" | cría de atún
 5### termArr[206] = "value-added products from aquaculture" | productos de acuicultura de valor añadido
 5### termArr[207] = "vessel monitoring systems (vms)" | sistemas de seguimiento de buques (VMS)
 5### termArr[208] = "vertical aquaculture" | acuicultura vertical
 5### termArr[209] = "water footprint of aquaculture" | huella hídrica de la acuicultura
 5### termArr[210] = "water quality management" | gestión de la calidad del agua
 5### termArr[211] = "water reuse systems in aquaculture" | sistemas de reutilización del agua en la acuicultura
 5### termArr[212] = "wetland restoration and fisheries" | restauración de humedales y pesca
 5### termArr[213] = "wild fishery" | pesca silvestre
 5### termArr[214] = "wildlife interactions with aquaculture" | interacciones de la vida silvestre con la acuicultura
 5### termArr[215] = "world health organisation (who)" | Organización Mundial de la Salud (OMS)
 5### termArr[216] = "zoning and integrated coastal planning" | zonificación y planificación costera integrada
 3### termArr[217] = "hatchery technology" | tecnología de incubación
 5### termArr[218] = "high-density aquaculture systems" | sistemas de acuicultura de alta densidad
 5### termArr[219] = "indigenous rights and fisheries" | derechos indígenas y la pesca
 5### termArr[220] = "invasive species control in aquaculture" | control de las especies invasoras en la acuicultura
 5### termArr[221] = "marine ecosystem health monitoring" | vigilancia de la salud de los ecosistemas marinos
 5### termArr[222] = "multi-species management" | gestión de múltiples especies
 5### termArr[223] = "national aquaculture legislation" | legislación nacional en materia de acuicultura
 5### termArr[224] = "nutrient cycling in aquaculture systems" | ciclo de los nutrientes en los sistemas de acuicultura
